mode: set
pvmlab/pvmlab/main.go:7.13,9.2 1 0
pvmlab/pvmlab/cmd/clean.go:27.54,31.17 3 1
pvmlab/pvmlab/cmd/clean.go:31.17,33.4 1 0
pvmlab/pvmlab/cmd/clean.go:35.3,39.17 3 1
pvmlab/pvmlab/cmd/clean.go:39.17,41.4 1 1
pvmlab/pvmlab/cmd/clean.go:43.3,43.34 1 1
pvmlab/pvmlab/cmd/clean.go:43.34,46.4 2 1
pvmlab/pvmlab/cmd/clean.go:48.3,48.31 1 1
pvmlab/pvmlab/cmd/clean.go:48.31,52.4 2 1
pvmlab/pvmlab/cmd/clean.go:55.3,56.55 2 1
pvmlab/pvmlab/cmd/clean.go:56.55,58.4 1 0
pvmlab/pvmlab/cmd/clean.go:60.3,60.12 1 1
pvmlab/pvmlab/cmd/clean.go:60.12,62.47 2 1
pvmlab/pvmlab/cmd/clean.go:62.47,64.5 1 0
pvmlab/pvmlab/cmd/clean.go:65.9,68.32 2 1
pvmlab/pvmlab/cmd/clean.go:68.32,71.50 3 1
pvmlab/pvmlab/cmd/clean.go:71.50,74.6 1 0
pvmlab/pvmlab/cmd/clean.go:78.3,79.13 2 1
pvmlab/pvmlab/cmd/clean.go:83.54,85.16 2 1
pvmlab/pvmlab/cmd/clean.go:85.16,86.25 1 0
pvmlab/pvmlab/cmd/clean.go:86.25,88.4 1 0
pvmlab/pvmlab/cmd/clean.go:89.3,89.70 1 0
pvmlab/pvmlab/cmd/clean.go:91.2,91.14 1 1
pvmlab/pvmlab/cmd/clean.go:91.14,95.67 3 1
pvmlab/pvmlab/cmd/clean.go:95.67,97.4 1 0
pvmlab/pvmlab/cmd/clean.go:98.3,98.13 1 1
pvmlab/pvmlab/cmd/clean.go:101.2,104.34 4 0
pvmlab/pvmlab/cmd/clean.go:104.34,106.3 1 0
pvmlab/pvmlab/cmd/clean.go:109.2,109.26 1 0
pvmlab/pvmlab/cmd/clean.go:109.26,111.17 2 0
pvmlab/pvmlab/cmd/clean.go:111.17,113.4 1 0
pvmlab/pvmlab/cmd/clean.go:114.3,114.15 1 0
pvmlab/pvmlab/cmd/clean.go:114.15,115.9 1 0
pvmlab/pvmlab/cmd/clean.go:117.3,117.37 1 0
pvmlab/pvmlab/cmd/clean.go:120.2,121.16 2 0
pvmlab/pvmlab/cmd/clean.go:121.16,123.3 1 0
pvmlab/pvmlab/cmd/clean.go:124.2,124.13 1 0
pvmlab/pvmlab/cmd/clean.go:124.13,126.3 1 0
pvmlab/pvmlab/cmd/clean.go:128.2,129.27 2 0
pvmlab/pvmlab/cmd/clean.go:132.13,135.2 2 1
pvmlab/pvmlab/cmd/completers.go:12.113,14.16 2 1
pvmlab/pvmlab/cmd/completers.go:14.16,17.3 2 0
pvmlab/pvmlab/cmd/completers.go:18.2,19.16 2 1
pvmlab/pvmlab/cmd/completers.go:19.16,23.3 2 1
pvmlab/pvmlab/cmd/completers.go:25.2,26.28 2 0
pvmlab/pvmlab/cmd/completers.go:26.28,28.3 1 0
pvmlab/pvmlab/cmd/completers.go:29.2,31.52 2 0
pvmlab/pvmlab/cmd/distro.go:14.13,16.2 1 1
pvmlab/pvmlab/cmd/distro_ls.go:19.54,21.17 2 0
